text,sumber
"rebahan dr jam 11 tp baru ketiduran subuh, badan ancur poll 😢",twitter
"udh jam 3 pagi masih melek, besok ada ujian tp mata ga mau tutup",twitter
"deadline dua hari lalu tp belom mulai, stress gw tingkat dewa udh, 😢",twitter
"overwhelmed parah, to-do list, makin panjang tp tenaga makin tipis 😞",twitter
"setiap bangun pagi ngerasa berat banget, gamau ngapa2in pengen tiduran aja 😢",twitter
"rebahan dr jam 11 tp baru ketiduran subuh, badan ancur poll",twitter
"ngerasa hampa parah, udh lama ga bs seneng sama sekali capek hidup 😭😭",twitter
"overwhelmed parah, to-do list makin panjang tp tenaga makin tipis 😞",twitter
"panik parah tadi pertemuan penting, tangan gemetaran keringetan malu bngt",twitter
"stress poll deadline numpuk smua minta seminggu lalu, otak gw uda ga jalan",twitter
"udh berminggu2 ga bisa ngrasa seneng, ketawa jg rasanya hampa 💔",twitter
"ga bs tenang, pikiran muter trs ttg pekerjaan, anxiety parah",twitter
"khawatir kalo skripsi ga sesuai rencana, parno bgt jadinya",twitter
"udh minum susu, matiin hp, tp tetep aja melek sampe subuh 😞",twitter
"udh minum susu, matiin hp, tp, tetep aja melek sampe subuh",twitter
"takut gagal poll sampe gemeteran, sblm presentasi",twitter
"kelelahan poll tp ga bs tidur, badan lemes otak masih jalan terus 😴",twitter
"tiap malem begadang, bukan krn mau tp emg gabisa tidur, :(",twitter
"susah amat tidur belakangan ini, setiap mau tidur tiba2 anxiety 💔",twitter
"pusing banget, semua hal dateng barengan, gamau mikir apa2 lg",twitter
"otak gw overload amat, info kebanyakan, ga bs fokus 😞",twitter
"cemas poll mikirin hasil test, ga bisa berhenti, mikir 😰",twitter
"udh ga ngrasa apa2 lg, kosong bgt dalem sini, sedih jg ga bs 😞",twitter
"kerja keras trs tp ga ada apresiasi, cape parah sm kondisi ini :(",twitter
"overthinking trs smpe ga bs tidur, besok ada interview tp malah kepikiran yg bukan2",twitter
"khawatir kalo hubungan, ga sesuai rencana, parno bgt jadinya",twitter
"kelelahan amat tp ga bs tidur, badan lemes otak masih jalan terus 😞",twitter
"pola tidur gw rusak parah, tidur jam 4 bangun jam 12 tiap hari",twitter
"males ngapa2in, bangun tidur aja cape amat, pengen ilang aja 😞",twitter
"ga mau ketemu siapapun, gamau ngomong, mau sendiri aja, nangis 💔",twitter
"tiap mau tidur kepikiran presentasi, anxiety naik trs",twitter
"insomnia kumat lg, tiap malem cuma rebahan sambil nangis",twitter
"insomnia gw makin parah belakangan ini, sampe sakit kepala tiap pagi huhu",twitter
@collegemenfess kak boleh kirim curhatan ga?,twitter
"ngrasa sendirian parah pdhl dikelilingin banyak org, ngga ada yg ngerti gw",twitter
"ga ada energi buat ngapa2in, makan aja, males apalagi keluar 😢",twitter
"mata udh berat amat tp begitu rebahan, langsung melek lg",twitter
"udh 3 hari ini, tidur kurang dr 3 jam, badan ga kuat",twitter
"tiap mau tidur kepikiran keputusan besar, anxiety naik trs",twitter
"kerja keras trs tp ga ada apresiasi, cape parah sm kondisi ini 💔",twitter
"cemas bgt mikirin skripsi, ga bisa berhenti mikir",twitter
"capek banget sm tuntutan yg ga ada abisnya, gw jg manusia bkn robot huhu",twitter
"otak gw overload bgt, info kebanyakan, ga bs fokus, huhu",twitter
